"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","Where does your member of Congress stand on Trump's immigration executive order? Search here:  https://t.co/5m62FiXYBU",FALSE,216,NA,2017-02-02 13:00:54,FALSE,NA,"827139731024728065",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",283,FALSE,FALSE,NA,NA
"69","Groundhog Day 2017: Winter Is (Still) Coming, Punxsutawney Phil Says https://t.co/2i8LMvevrm",FALSE,228,NA,2017-02-02 12:51:06,FALSE,NA,"827137265889529856",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",212,FALSE,FALSE,NA,NA
"70","Bringing the celebration of #GroundhogDay out of the shadows https://t.co/nzt4sgI6g0 https://t.co/KTBK4qWMdV",FALSE,99,NA,2017-02-02 12:19:01,FALSE,NA,"827129191351144449",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",57,FALSE,FALSE,NA,NA
"71","Trump Disparages 'Dumb' Deal With Australia On Refugees https://t.co/SSvqIQ4Bh4",FALSE,71,NA,2017-02-02 12:10:05,FALSE,NA,"827126946181967873",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",76,FALSE,FALSE,NA,NA
"72","UPDATE: @realDonaldTrump said UC Berkeley ""practices violence on innocent people."" https://t.co/hcUAKVPsNW",FALSE,253,NA,2017-02-02 11:57:43,FALSE,NA,"827123832456609793",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",163,FALSE,FALSE,NA,NA
"73","One protester's sign read: ""Hate makes spaces unsafe so why should we make safe spaces for hate?"" https://t.co/hcUAKVPsNW",FALSE,514,"NPR",2017-02-02 11:05:05,FALSE,"827106445615194112","827110588451008513","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",245,FALSE,FALSE,NA,NA
"74","Breitbart Editor's Event Canceled As Protests Turn Violent At UC Berkeley https://t.co/hcUAKW73Fu",FALSE,462,NA,2017-02-02 10:48:38,FALSE,NA,"827106445615194112",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",259,FALSE,FALSE,NA,NA
"75","Inmates At A Delaware State Prison Hold 2 Employees Hostage https://t.co/s59lOVKhY6",FALSE,43,NA,2017-02-02 07:22:34,FALSE,NA,"827054589987876864",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",42,FALSE,FALSE,NA,NA
"76","Martens are apparently a menace to the $7 billion Large Hadron Collider particle accelerator https://t.co/ENdL0VT4U7",FALSE,157,NA,2017-02-02 01:51:33,FALSE,NA,"826971286450667520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",79,FALSE,FALSE,NA,NA
"77","Although Trump lost in court, his hardball business tactics were effective. https://t.co/ld12dU6yVW",FALSE,162,"NPR",2017-02-02 01:28:10,FALSE,"826963768332709888","826965399119994881","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",84,FALSE,FALSE,NA,NA
"78","Although Trump wasn't personally named in the suit, his videotaped deposition was played in court. His son Eric testified at the trial.",FALSE,174,"NPR",2017-02-02 01:25:35,FALSE,"826963768332709888","826964749338439680","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",95,FALSE,FALSE,NA,NA
"79","President Trump's company has lost a lawsuit filed by members of a golf club and must refund them nearly $6 million. https://t.co/ld12dU6yVW",FALSE,1509,NA,2017-02-02 01:21:41,FALSE,NA,"826963768332709888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",806,FALSE,FALSE,NA,NA
"80","National Prayer Breakfast Could Feature Reconciliation Or Bickering https://t.co/TnE3Yq4la7",FALSE,35,NA,2017-02-02 00:36:34,FALSE,NA,"826952413730861057",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",12,FALSE,FALSE,NA,NA
